new_zscode,new_sigungu,legacy_zscode,legacy_zcode,legacy_sido
12110,목포시,46110,46,전라남도
12130,여수시,46130,46,전라남도
12150,순천시,46150,46,전라남도
12170,나주시,46170,46,전라남도
12190,광양시,46230,46,전라남도
12210,동구,29110,29,광주광역시
12240,서구,29140,29,광주광역시
12270,남구,29155,29,광주광역시
12300,북구,29170,29,광주광역시
12330,광산구,29200,29,광주광역시
12710,담양군,46710,46,전라남도
12720,곡성군,46720,46,전라남도
12730,구례군,46730,46,전라남도
12740,고흥군,46770,46,전라남도
12750,보성군,46780,46,전라남도
12760,화순군,46790,46,전라남도
12770,장흥군,46800,46,전라남도
12780,강진군,46810,46,전라남도
12790,해남군,46820,46,전라남도
12800,영암군,46830,46,전라남도
12810,무안군,46840,46,전라남도
12820,함평군,46860,46,전라남도
12830,영광군,46870,46,전라남도
12840,장성군,46880,46,전라남도
12850,완도군,46890,46,전라남도
12860,진도군,46900,46,전라남도
12870,신안군,46910,46,전라남도
